id_chamada;data;nome_fluxo;qtde_rtd_nok;qtde_rtd_ok;qtde_chamadas;tempo_total_rtd;tempo_min_rtd;tempo_max_rtd;tempo_medio_rtd
7b905cf8b6;01/03/2023;;0;0;1;0;0;0;0;
730d238110;01/03/2023;;0;0;1;0;0;0;0;
602fd6581e;01/03/2023;;0;0;1;0;0;0;0;
1d70d5a515;01/03/2023;;0;0;1;0;0;0;0;
7f162da2ec;01/03/2023;upgradenbo;0;1;1;6,8735857009887695;6,8735857009887695;6,8735857009887695;6,8735857009887695;
b5e1bc44ec;01/03/2023;downgradenbo;0;1;1;2,583915948867798;2,583915948867798;2,583915948867798;2,583915948867798;
2d723a32b3;01/03/2023;migracaolateralnbo;0;1;1;1,9481732845306396;1,9481732845306396;1,9481732845306396;1,9481732845306396;
0c2fbe1a3e;01/03/2023;migracaolateralnbo;0;1;1;6,40740966796875;6,40740966796875;6,40740966796875;6,40740966796875;
7a604bbc6e;01/03/2023;downgradenbo;0;1;1;1,9865169525146484;1,9865169525146484;1,9865169525146484;1,9865169525146484;
c52ef60d9f;01/03/2023;upgradenbo;0;1;1;12,087833881378174;12,087833881378174;12,087833881378174;12,087833881378174;
41c0fe7770;01/03/2023;upgradenbo;0;1;1;8,79409408569336;8,79409408569336;8,79409408569336;8,79409408569336;
46692ecba6;01/03/2023;downgradenbo;0;1;1;13,479864358901978;13,479864358901978;13,479864358901978;13,479864358901978;
886a615ebe;01/03/2023;upgradenbo;0;1;1;8,675503492355347;8,675503492355347;8,675503492355347;8,675503492355347;
e81c1c96d8;01/03/2023;downgradenbo;0;1;1;4,030160665512085;4,030160665512085;4,030160665512085;4,030160665512085;
613c79bdd3;01/03/2023;downgradenbo;0;1;1;6,847092866897583;6,847092866897583;6,847092866897583;6,847092866897583;
fd2737e6db;01/03/2023;downgradenbo;0;1;1;16,523340702056885;16,523340702056885;16,523340702056885;16,523340702056885;
b895218504;01/03/2023;downgradenbo;0;1;1;2,4030020236968994;2,4030020236968994;2,4030020236968994;2,4030020236968994;
ea2a137e15;01/03/2023;migracaolateralnbo;0;1;1;10,317190170288086;10,317190170288086;10,317190170288086;10,317190170288086;
6803713785;01/03/2023;upgradenbo;0;1;1;2,077519178390503;2,077519178390503;2,077519178390503;2,077519178390503;
1a4dc55684;02/03/2023;upgradenbo;0;1;1;13,086679697036743;13,086679697036743;13,086679697036743;13,086679697036743;
152410f4a4;02/03/2023;upgradenbo;0;1;1;2,045441150665283;2,045441150665283;2,045441150665283;2,045441150665283;
3dbb4149f8;02/03/2023;upgradenbo;0;1;1;9,866621971130371;9,866621971130371;9,866621971130371;9,866621971130371;
9c62851ea6;02/03/2023;migracaolateralnbo;0;1;1;6,975477933883667;6,975477933883667;6,975477933883667;6,975477933883667;
31a2133684;02/03/2023;migracaolateralnbo;0;1;1;3,116875648498535;3,116875648498535;3,116875648498535;3,116875648498535;
1ce980cd93;02/03/2023;migracaolateralnbo;0;1;1;10,36943793296814;10,36943793296814;10,36943793296814;10,36943793296814;
ade11544bd;02/03/2023;downgradenbo;0;1;1;4,487436294555664;4,487436294555664;4,487436294555664;4,487436294555664;
57ba118656;02/03/2023;downgradenbo;0;1;1;2,2080068588256836;2,2080068588256836;2,2080068588256836;2,2080068588256836;
e0c9a1acc7;02/03/2023;upgradenbo;0;1;1;7,01498556137085;7,01498556137085;7,01498556137085;7,01498556137085;
60e18ed687;02/03/2023;upgradenbo;0;1;1;12,977300643920898;12,977300643920898;12,977300643920898;12,977300643920898;
cbb0bf26c5;02/03/2023;downgradenbo;0;1;1;5,777582168579102;5,777582168579102;5,777582168579102;5,777582168579102;
17c979b31e;02/03/2023;downgradenbo;0;1;1;10,367562055587769;10,367562055587769;10,367562055587769;10,367562055587769;
39a747a91a;02/03/2023;upgradenbo;0;1;1;2,260601282119751;2,260601282119751;2,260601282119751;2,260601282119751;
692cc05140;02/03/2023;upgradenbo;0;1;1;9,806553363800049;9,806553363800049;9,806553363800049;9,806553363800049;
1a5d252743;02/03/2023;migracaolateralnbo;0;1;1;2,147590160369873;2,147590160369873;2,147590160369873;2,147590160369873;
3144b8792a;02/03/2023;upgradenbo;0;1;1;2,7054097652435303;2,7054097652435303;2,7054097652435303;2,7054097652435303;
f4b92a09c5;02/03/2023;upgradenbo;0;1;1;2,3114190101623535;2,3114190101623535;2,3114190101623535;2,3114190101623535;
8515789653;02/03/2023;upgradenbo;0;1;1;2,184185028076172;2,184185028076172;2,184185028076172;2,184185028076172;
f98b924fe5;02/03/2023;downgradenbo;0;1;1;9,757976055145264;9,757976055145264;9,757976055145264;9,757976055145264;
eff6d7bdc9;02/03/2023;migracaolateralnbo;0;1;1;2,1966848373413086;2,1966848373413086;2,1966848373413086;2,1966848373413086;
cd2a4a6fd2;02/03/2023;upgradenbo;0;1;1;2,5432159900665283;2,5432159900665283;2,5432159900665283;2,5432159900665283;
16781ecf03;02/03/2023;downgradenbo;0;1;1;2,3935980796813965;2,3935980796813965;2,3935980796813965;2,3935980796813965;
e98cbe8132;02/03/2023;;0;0;1;0;0;0;0;
e4915865cd;02/03/2023;;0;0;1;0;0;0;0;
608a8ec81f;02/03/2023;;0;0;1;0;0;0;0;
f383deb784;02/03/2023;;0;0;1;0;0;0;0;
a25b62349d;02/03/2023;downgradenbo;0;2;1;2,6177713871002197;2,6177713871002197;2,6177713871002197;2,6177713871002197;
9c26fa9af7;02/03/2023;;0;0;1;0;0;0;0;
353027941b;02/03/2023;;0;0;1;0;0;0;0;
e293552649;02/03/2023;;0;0;1;0;0;0;0;
889e7920fb;02/03/2023;downgradenbo;0;4;1;1,9165003299713135;1,9165003299713135;1,9165003299713135;1,9165003299713135;
37188c8794;02/03/2023;;0;0;1;0;0;0;0;
aa593d5d39;02/03/2023;;0;0;1;0;0;0;0;
73db47f5c3;02/03/2023;;0;0;1;0;0;0;0;
cc185bb6f0;02/03/2023;downgradenbo;0;4;1;2,3281350135803223;2,3281350135803223;2,3281350135803223;2,3281350135803223;
